id ,location ,date_of_sale,numbers_of_bedrooms,price,type
0,clapham,12/4/1999,1,"$729,000.00",apartment
1,Ashford,5/8/2017,unknown,"$699,000.00",semi-detached
2,Stratford-on-Avon,29/03/2012,3,,detached
3,Canterbury,1/7/2009,2,"$529,000.00",teraced
4,Camden,16/12/2001,1,"$616,000.00",apartment
5,Rugby,1/3/2003,-,"$247,000.00",detached
6,Hampstead,5/3/2016,2,$0.00,teraced
7,clapham,5/7/2001,363,"$543,000.00",apartment
8,Stratford-on-Avon,10/5/2010,3,"$420,000.00",detached
9,Camden,16/12/2001,1,"$616,000.00",apartment
